success_rate,efficiency,days_with_0,days_with_1,days_with_2plus,avg_arrivals,total_waiting_days,avg_ship_success,llm_success_rate,heuristic_success_rate,optimal_days_achieved,wasted_capacity_days,congestion_days,num_llm_ships,llm_percentage
0.005479452054794521,0.0,363,0,2,0.28493150684931506,102,5.479452054794521e-05,0.0,5.479452054794521e-05,0,363,2,0,0.0
0.005479452054794521,0.0,363,0,2,0.2821917808219178,101,5.4869787746500076e-05,0.0,5.775767131210534e-05,0,363,2,5,5.0
0.005479452054794521,0.0,363,0,2,0.2821917808219178,101,5.4869787746500076e-05,0.0,6.096643082944453e-05,0,363,2,10,10.0
0.005479452054794521,0.0,363,0,2,0.2821917808219178,101,5.4869787746500076e-05,0.0,6.455269146647067e-05,0,363,2,15,15.0
0.005479452054794521,0.0027397260273972603,363,1,1,0.27671232876712326,99,5.4869787746500076e-05,0.0,6.858723468312509e-05,1,363,1,20,20.0
0.005479452054794521,0.0027397260273972603,363,1,1,0.27671232876712326,99,5.4869787746500076e-05,0.0,7.315971699533343e-05,1,363,1,25,25.0
0.005479452054794521,0.0,363,0,2,0.27945205479452057,100,5.4869787746500076e-05,0.0001828992924883336,0.0,0,363,2,30,30.0
0.005479452054794521,0.0,363,0,2,0.2876712328767123,103,5.4869787746500076e-05,0.0,9.14496462441668e-05,0,363,2,40,40.0
0.005479452054794521,0.0,363,0,2,0.2876712328767123,103,5.4869787746500076e-05,5.479452054794521e-05,5.494505494505495e-05,0,363,2,50,50.0
0.005479452054794521,0.0027397260273972603,363,1,1,0.27671232876712326,99,5.4869787746500076e-05,7.315971699533343e-05,0.0,1,363,1,75,75.0
0.0027397260273972603,0.0,364,0,1,0.273972602739726,99,2.7397260273972603e-05,2.7397260273972603e-05,0.0,0,364,1,100,100.0
